method,seed,upper_loss,lower_loss,point_error,objective,lower_objective,max_residual,residual_norm,max_upper_constraint,max_lower_constraint,min_u,max_scholtes_constraint,fsolve_ier,time,final_t
compact,42,0.5480292964781978,0.3327437335522211,0.8807730300304188,205.26815503626813,71.24051878566794,3.7915557088984326,81.59000906369945,-0.0003520488739013894,-0.0007448434829712136,0.0,-0.005000000000000001,-9,400.19545116182417,0.005000000000000001
compact,43,0.501236283813962,0.33154383755358546,0.8327801213675474,115.06572923660156,69.48957960637887,3.795658415685342,79.37518905500191,-0.0014631986618042214,-0.0006603837013244851,0.0,-0.005000000000000001,-9,400.18849403131753,0.005000000000000001
compact,44,0.5029922323140288,0.346392430997472,0.8493846633115008,107.89148360877994,73.07204415311618,3.7998874843154096,79.6164874819515,-5.625784229523756e-05,-0.0017295122146606667,0.0,-0.005000000000000001,-9,400.24727238249034,0.005000000000000001
compact,45,0.5089192220652541,0.33965385960706845,0.8485730816723225,118.17054838161675,76.67286185794835,3.799668377647745,79.93857865850936,-0.00016581117612746166,-0.0015578508377075417,0.0,-0.005000000000000001,-9,400.244831064716,0.005000000000000001
compact,46,0.5408159465967174,0.333937778946201,0.8747537255429184,188.46875031653985,72.49907914107538,3.7971275509259823,81.19713735812324,-0.0014362245370088678,-0.000820899009704612,0.0,-0.005000000000000001,-9,400.248844509013,0.005000000000000001
compact,47,0.5254358257392748,0.37686065832002286,0.9022964840592977,114.95779619511268,94.75194829016927,3.7998759210146678,81.12490909479236,-6.203949266614384e-05,-0.0005230545997619851,0.0,-0.005000000000000001,-9,400.2365436209366,0.005000000000000001
compact,48,0.50649426586776,0.3438949067398793,0.8503891726076394,109.30999362093439,78.81078511373258,3.792090362546134,79.94865136368551,-0.0031579971313476785,-0.001283550262451194,0.0,-0.005000000000000001,-9,400.25092981383204,0.005000000000000001
compact,49,0.524542925182044,0.33769399053860316,0.8622369157206472,138.2894167438733,86.05724697738789,3.798431104468371,80.61526147591889,-8.645057678224877e-05,-0.00063290596008303,0.0,-0.005000000000000001,-9,400.25035459920764,0.005000000000000001
compact,50,0.5266229466061718,0.35031196183807184,0.8769349084442437,139.25692419552865,84.72285561530249,3.798798865115675,80.89773472791703,-0.0006005674421624141,-0.001534545421600364,0.0,-0.005000000000000001,-9,400.2473185742274,0.005000000000000001
compact,51,0.5081207102388591,0.3698179076518871,0.8779386178907462,64.34662195113606,113.72217562491446,3.7942015590011597,80.55847492174196,-0.0013027429580688699,-0.0002191305160522683,0.0,-0.005000000000000001,-9,400.24414691422135,0.005000000000000001
detailed,42,0.5480292964781978,0.3327437335522211,0.8807730300304188,205.26815503626813,71.24051878566794,3.7915557088984326,81.59000906369944,-0.0003520488739013894,-0.0007448434829712136,0.0,-0.005000000000000001,-9,400.1841578492895,0.005000000000000001
detailed,43,0.501236283813962,0.33154383755358546,0.8327801213675474,115.06572923660156,69.48957960637887,3.795658415685342,79.3751890550019,-0.0014631986618042214,-0.0006603837013244851,0.0,-0.005000000000000001,-9,400.25157381780446,0.005000000000000001
detailed,44,0.5029922323140288,0.346392430997472,0.8493846633115008,107.89148360877994,73.07204415311618,3.7998874843154096,79.6164874819515,-5.625784229523756e-05,-0.0017295122146606667,0.0,-0.005000000000000001,-9,400.24700377881527,0.005000000000000001
detailed,45,0.5089192220652541,0.33965385960706845,0.8485730816723225,118.17054838161675,76.67286185794835,3.799668377647745,79.93857865850936,-0.00016581117612746166,-0.0015578508377075417,0.0,-0.005000000000000001,-9,400.2493871022016,0.005000000000000001
detailed,46,0.5408159465967174,0.333937778946201,0.8747537255429184,188.46875031653985,72.49907914107538,3.7971275509259823,81.19713735812326,-0.0014362245370088678,-0.000820899009704612,0.0,-0.005000000000000001,-9,400.2453313935548,0.005000000000000001
detailed,47,0.5254358257392748,0.37686065832002286,0.9022964840592977,114.95779619511268,94.75194829016927,3.7998759210146678,81.12490909479237,-6.203949266614384e-05,-0.0005230545997619851,0.0,-0.005000000000000001,-9,400.24693209212273,0.005000000000000001
detailed,48,0.50649426586776,0.3438949067398793,0.8503891726076394,109.30999362093439,78.81078511373258,3.792090362546134,79.94865136368551,-0.0031579971313476785,-0.001283550262451194,0.0,-0.005000000000000001,-9,400.2553540840745,0.005000000000000001
detailed,49,0.524542925182044,0.33769399053860316,0.8622369157206472,138.2894167438733,86.05724697738789,3.798431104468371,80.61526147591889,-8.645057678224877e-05,-0.00063290596008303,0.0,-0.005000000000000001,-9,400.2344227740541,0.005000000000000001
detailed,50,0.5266229466061718,0.35031196183807184,0.8769349084442437,139.25692419552865,84.72285561530249,3.798798865115675,80.89773472791703,-0.0006005674421624141,-0.001534545421600364,0.0,-0.005000000000000001,-9,400.2480162391439,0.005000000000000001
detailed,51,0.5081207102388591,0.3698179076518871,0.8779386178907462,64.34662195113606,113.72217562491446,3.7942015590011597,80.55847492174196,-0.0013027429580688699,-0.0002191305160522683,0.0,-0.005000000000000001,-9,400.2245515855029,0.005000000000000001
