method,num_runs,upper_loss_min,upper_loss_max,upper_loss_mean,upper_loss_std,lower_loss_min,lower_loss_max,lower_loss_mean,lower_loss_std,total_loss_min,total_loss_max,total_loss_mean,total_loss_std,avg_time_s,std_time_s
SiPBA,10,1.6270007563434774e-10,1.766728985330701e-10,1.6809629244107783e-10,4.564180665516696e-12,2.1754456611233763e-05,2.1780357201350853e-05,2.176854159188224e-05,7.128547763850803e-09,2.1754620320280083e-05,2.178052454837598e-05,2.1768709484604187e-05,7.1287524120438185e-09,1.6131691261427477,0.03799938368097094
AdaProx-PD,10,0.08229254931211472,0.11088861525058746,0.09989440441131592,0.008075349510945667,0.5060921907424927,0.617270827293396,0.5393613398075103,0.03066713234692068,0.5975793600082397,0.7179839611053467,0.6392557442188262,0.031215398374135787,8.241364140389488,0.05966865471402487
AdaProx-SG,10,0.10687603801488876,0.1439788043498993,0.1320381559431553,0.01172487876538072,0.45259901881217957,0.5550045967102051,0.48519136011600494,0.028196824654775708,0.5662897229194641,0.6858172416687012,0.6172295153141022,0.0299595447333613,7.500008236384019,0.04235056953305563
