method,seed,upper_loss,lower_loss,point_error,objective,lower_objective,max_residual,residual_norm,max_upper_constraint,max_lower_constraint,min_u,max_scholtes_constraint,fsolve_ier,time,final_t
compact,42,1.9507673370338647e-05,1.0176010623373356e-09,1.9508690971400983e-05,-49.99924680757235,9.912047885066086e-08,0.00016974704787727667,0.002296229555480293,-0.4044167266918962,-0.6544160360593928,6.655367374573521e-05,8.403378202989853e-05,5,23.763677360489964,6.250000000000003e-07
compact,43,1.9215862844765172e-05,8.98280530581677e-10,1.9216761125295755e-05,-49.99910759951466,8.707045103272953e-08,0.0001710194657291225,0.002363562383035095,-0.4043835731625205,-0.6543804728541243,6.990219327323017e-05,8.407794875294298e-05,5,23.750905385240912,6.250000000000003e-07
compact,44,1.9019750091233482e-05,8.077501563670651e-10,1.902055784138985e-05,-49.99895333511697,7.602603959017602e-08,0.00015950029361445255,0.0022083619052202627,-0.40436111633742144,-0.6543585896316955,6.560929757889274e-05,7.835524744147006e-05,5,23.786246097646654,6.250000000000003e-07
compact,45,1.8866463031681372e-05,3.8824867210626483e-10,1.886685128035348e-05,-49.99819086117636,3.8578994418893555e-08,0.00012180832672563599,0.0017028206593420077,-0.4043434582273731,-0.6543422206490541,5.194954376153553e-05,6.0091062845035956e-05,5,23.821802707388997,6.250000000000003e-07
compact,46,1.873025002766251e-05,2.889922800981473e-10,1.8730539019942608e-05,-49.9979023462125,2.7172063173274268e-08,9.768471628403569e-05,0.001366247614879147,-0.4043277608973473,-0.6543147997961486,4.048080601462069e-05,4.723552893752258e-05,5,23.92574982251972,6.250000000000003e-07
compact,47,1.8458524776364428e-05,1.632482051312603e-10,1.845868802456956e-05,-49.99756751156875,1.585625472121238e-08,7.474409810138327e-05,0.0010491202411139918,-0.4042962224326546,-0.65428794372975,3.159092539911409e-05,3.613636690270228e-05,5,22.19513182528317,6.250000000000003e-07
compact,48,1.9122501415254072e-05,7.431762215544541e-10,1.9123244591475627e-05,-49.998849597983394,7.150791578855732e-08,0.00015891852967712106,0.0022077257822025738,-0.4043728392362964,-0.6543680291902694,6.559150002090707e-05,7.829705327145729e-05,5,25.664969789795578,6.250000000000003e-07
compact,49,1.896074627304042e-05,3.9948228516227075e-10,1.896114575532558e-05,-49.99819792760536,3.960405000601511e-08,0.00011721736674406484,0.001635953601244254,-0.40435435411330684,-0.6543531891729701,4.959664790033455e-05,5.7698925523522156e-05,5,20.29190042614937,6.250000000000003e-07
compact,50,1.86430517023799e-05,3.030999272305476e-09,1.8646082701652205e-05,-49.997014061318694,5.5126823516573035e-09,4.494779730995828e-05,0.0006319990161611228,-0.404317523257592,-0.6541474592907854,1.680203648981268e-05,2.1950423120717603e-05,5,51.8486682921648,1.5625000000000008e-09
compact,51,1.8798277247161805e-05,2.6479256202674434e-10,1.879854203972383e-05,-49.997858216997315,2.617510601587467e-08,9.559126049516609e-05,0.0013306502149074328,-0.40433560915004496,-0.6543312566842485,3.9924819311937474e-05,4.666238318982296e-05,5,21.76264621783048,6.250000000000003e-07
detailed,42,1.8177828777300747e-05,6.81718423747783e-11,1.817789694914312e-05,-49.99685424826876,2.399149092419049e-09,2.253910913896247e-05,0.00031813911158964816,-0.40426354536727327,-0.6542362653714684,8.61357952456687e-06,1.0419511968088796e-05,4,109.06131104659289,1.5625000000000008e-09
detailed,43,1.8193177994634277e-05,1.0026462322972443e-10,1.8193278259257507e-05,-49.99705203934038,4.770270586838975e-09,2.8816171934468314e-05,0.0004096098394334321,-0.4042653333434528,-0.6542342981577627,1.1005828130860606e-05,1.3322703724245664e-05,4,108.65978032816201,1.5625000000000008e-09
detailed,44,1.819355384600637e-05,1.0147625945731179e-10,1.8193655322265826e-05,-49.99702409790742,4.393102849770593e-09,2.879280169359983e-05,0.0004086135756955169,-0.4042653768072239,-0.6542310202216295,1.1006030014110015e-05,1.3317156665372257e-05,4,108.70301494281739,1.5625000000000008e-09
detailed,45,1.8180887409028065e-05,9.103327718006704e-11,1.8180978442305244e-05,-49.99694840056226,3.4172708267911537e-09,2.5484372863371474e-05,0.00037584226092968295,-0.4042638989495306,-0.654234497371564,9.722596049443739e-06,1.1770108685809904e-05,4,109.024244049564,1.5625000000000008e-09
detailed,46,1.8191529077247307e-05,8.283079101180624e-11,1.8191611908038317e-05,-49.996898181505294,2.8781480089755414e-09,2.554754061109363e-05,0.0003745225305575135,-0.4042651484321953,-0.6542341536021896,9.76333636688222e-06,1.1805962319934186e-05,4,109.00218388345093,1.5625000000000008e-09
detailed,47,1.819902945031218e-05,8.993604289048958e-11,1.819911938635507e-05,-49.99699649196919,4.048707941350738e-09,2.87799174153131e-05,0.00040720474355264587,-0.40426602421985564,-0.6542409378398353,1.1025220934659497e-05,1.3323185931527979e-05,4,110.23310660291463,1.5625000000000008e-09
detailed,48,1.818800383881129e-05,1.0062955737315174e-10,1.8188104468368664e-05,-49.99688709286035,2.752983182332995e-09,2.4015113222356156e-05,0.0003484757741613967,-0.4042647378024209,-0.6542287173225212,9.182599195153885e-06,1.1102443689647766e-05,4,109.10648632515222,1.5625000000000008e-09
detailed,49,1.818731400742768e-05,8.360551364965469e-11,1.8187397612941328e-05,-49.99703444410446,4.51455464156563e-09,2.82070263146465e-05,0.000400344396956932,-0.40426465393474564,-0.6542380703667715,1.0780903863389225e-05,1.3040039753936878e-05,4,109.26726964302361,1.5625000000000008e-09
detailed,50,1.8188718275202668e-05,9.11346253825402e-11,1.818880940982805e-05,-49.99703007835394,4.459821153102407e-09,2.8554591621160327e-05,0.0004046128527442979,-0.40426481596878105,-0.6542325501088868,1.0913767760366374e-05,1.3201414264045803e-05,4,109.1518360292539,1.5625000000000008e-09
detailed,51,1.8197289146220915e-05,1.212084620250601e-10,1.819741035468294e-05,-49.99696896466372,3.701711386452016e-09,2.7748611548500634e-05,0.0004003648806523403,-0.40426582661007165,-0.654231588742159,1.0571223598239028e-05,1.2801566593750052e-05,4,95.0196664892137,3.125000000000001e-08
