method,num_runs,upper_loss_min,upper_loss_max,upper_loss_mean,upper_loss_std,lower_loss_min,lower_loss_max,lower_loss_mean,lower_loss_std,total_loss_min,total_loss_max,total_loss_mean,total_loss_std,avg_time_s,std_time_s
SiPBA,10,1.2290968243178213e-10,1.9955236074675753e-10,1.6302300898107803e-10,2.6304453135335334e-11,2.1725689293816686e-05,2.183976539527066e-05,2.178428094339324e-05,4.1204978646996115e-08,2.1725889382651076e-05,2.1839938199263997e-05,2.1784443924843798e-05,4.118783039989518e-08,1.9071513703325764,0.00829038835229549
AdaProx-PD,10,0.11029882729053497,0.1185809075832367,0.11417826190590859,0.0029976811945567595,0.5040673613548279,0.5745053887367249,0.5341172039508819,0.020190944190439656,0.6226482391357422,0.6887481808662415,0.6482954502105713,0.0194153269698752,9.773486504144966,0.04514875927481074
AdaProx-SG,10,0.1276932805776596,0.13795770704746246,0.13220324218273163,0.0036460100259676537,0.4763643741607666,0.5425658226013184,0.5043570339679718,0.019394475291082687,0.6143220663070679,0.6741085648536682,0.6365602731704711,0.018408836844789094,8.900706780818291,0.023580540732946135
