alpha,xi,sigma,beta,primal_lr,dual_lr,lambda_max,dual_momentum,reset_lambda_per_outer,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,lower_scale,method,status,error
0.001,0.0001,0.1,0.1,0.01,0.001,100.0,0.0,False,1,0.785086452960968,0.0,9.116731234826148e-06,0.0,0.7850773334503174,0.0,1.5365839004516602,0.0,2.321670353412628,0.0,0.785086452960968,0.0,9.116731234826148e-06,0.0,0.7850773334503174,0.0,1.5365839004516602,0.0,2.321670353412628,0.0,0.785086452960968,0.0,9.116731234826148e-06,0.0,0.3714917302131653,0.0,1.5365839004516602,0.0,103.57964018639177,0.0,1.0,PD,ok,
0.001,0.1,0.001,0.001,0.01,0.001,100.0,0.0,False,1,0.808768093585968,0.0,9.211639735440258e-06,0.0,0.8087588548660278,0.0,1.5221935510635376,0.0,2.3309616446495056,0.0,0.808768093585968,0.0,9.211639735440258e-06,0.0,0.8087588548660278,0.0,1.5221935510635376,0.0,2.3309616446495056,0.0,0.808768093585968,0.0,9.211639735440258e-06,0.0,0.3714917302131653,0.0,1.5221935510635376,0.0,48.140378958079964,0.0,1.0,PD,ok,
0.001,0.1,0.01,0.01,0.01,0.001,100.0,0.0,False,1,0.8087648749351501,0.0,9.290136404160876e-06,0.0,0.8087555766105652,0.0,1.5221935510635376,0.0,2.3309584259986877,0.0,0.8087648749351501,0.0,9.290136404160876e-06,0.0,0.8087555766105652,0.0,1.5221935510635376,0.0,2.3309584259986877,0.0,0.8087648749351501,0.0,9.290136404160876e-06,0.0,0.3714917302131653,0.0,1.5221935510635376,0.0,48.008367924019694,0.0,1.0,PD,ok,
0.001,0.01,0.1,0.01,0.01,0.001,100.0,0.0,False,1,0.7831430435180664,0.0,9.318965567217674e-06,0.0,0.7831337451934814,0.0,1.5381977558135986,0.0,2.321340799331665,0.0,0.7831430435180664,0.0,9.318965567217674e-06,0.0,0.7831337451934814,0.0,1.5381977558135986,0.0,2.321340799331665,0.0,0.7831430435180664,0.0,9.318965567217674e-06,0.0,0.3714917302131653,0.0,1.5381977558135986,0.0,48.117900386918336,0.0,1.0,PD,ok,
0.001,0.01,0.1,0.001,0.01,0.001,100.0,0.0,False,1,0.7829487919807434,0.0,9.379913535667583e-06,0.0,0.7829394340515137,0.0,1.5383636951446533,0.0,2.3213124871253967,0.0,0.7829487919807434,0.0,9.379913535667583e-06,0.0,0.7829394340515137,0.0,1.5383636951446533,0.0,2.3213124871253967,0.0,0.7829487919807434,0.0,9.379913535667583e-06,0.0,0.3714917302131653,0.0,1.5383636951446533,0.0,48.39003819646314,0.0,1.0,PD,ok,
0.001,0.1,0.001,0.1,0.1,0.001,100.0,0.0,False,1,0.8087592124938965,0.0,9.440256690140814e-06,0.0,0.808749794960022,0.0,1.5221935510635376,0.0,2.330952763557434,0.0,0.8087592124938965,0.0,9.440256690140814e-06,0.0,0.808749794960022,0.0,1.5221935510635376,0.0,2.330952763557434,0.0,0.8087592124938965,0.0,9.440256690140814e-06,0.0,0.3714917302131653,0.0,1.5221935510635376,0.0,48.41223847493529,0.0,1.0,PD,ok,
0.001,0.001,0.1,0.01,0.01,0.001,100.0,0.0,False,1,0.7830691337585449,0.0,9.526506801194046e-06,0.0,0.7830595970153809,0.0,1.538310170173645,0.0,2.32137930393219,0.0,0.7830691337585449,0.0,9.526506801194046e-06,0.0,0.7830595970153809,0.0,1.538310170173645,0.0,2.32137930393219,0.0,0.7830691337585449,0.0,9.526506801194046e-06,0.0,0.3714917302131653,0.0,1.538310170173645,0.0,108.50761682167649,0.0,1.0,PD,ok,
0.001,0.0001,0.1,0.01,0.01,0.001,100.0,0.0,False,1,0.7830619215965271,0.0,9.547109584673308e-06,0.0,0.783052384853363,0.0,1.5383217334747314,0.0,2.3213836550712585,0.0,0.7830619215965271,0.0,9.547109584673308e-06,0.0,0.783052384853363,0.0,1.5383217334747314,0.0,2.3213836550712585,0.0,0.7830619215965271,0.0,9.547109584673308e-06,0.0,0.3714917302131653,0.0,1.5383217334747314,0.0,106.9545984310098,0.0,1.0,PD,ok,
0.001,0.001,0.1,0.001,0.01,0.001,100.0,0.0,False,1,0.7828758358955383,0.0,9.588918146619108e-06,0.0,0.7828662395477295,0.0,1.5384758710861206,0.0,2.321351706981659,0.0,0.7828758358955383,0.0,9.588918146619108e-06,0.0,0.7828662395477295,0.0,1.5384758710861206,0.0,2.321351706981659,0.0,0.7828758358955383,0.0,9.588918146619108e-06,0.0,0.3714917302131653,0.0,1.5384758710861206,0.0,109.89138441719115,0.0,1.0,PD,ok,
0.001,0.0001,0.1,0.001,0.01,0.001,100.0,0.0,False,1,0.7828686833381653,0.0,9.609796506993007e-06,0.0,0.7828590869903564,0.0,1.5384870767593384,0.0,2.3213557600975037,0.0,0.7828686833381653,0.0,9.609796506993007e-06,0.0,0.7828590869903564,0.0,1.5384870767593384,0.0,2.3213557600975037,0.0,0.7828686833381653,0.0,9.609796506993007e-06,0.0,0.3714917302131653,0.0,1.5384870767593384,0.0,109.18578759394586,0.0,1.0,PD,ok,
0.001,0.1,0.01,0.001,0.1,0.0001,100.0,0.0,False,1,0.8649626970291138,0.0,9.619105185265653e-06,0.0,0.8649531006813049,0.0,5.424519062042236,0.0,6.28948175907135,0.0,0.8649626970291138,0.0,9.619105185265653e-06,0.0,0.8649531006813049,0.0,5.424519062042236,0.0,6.28948175907135,0.0,0.8649626970291138,0.0,9.619105185265653e-06,0.0,0.3714917302131653,0.0,5.424519062042236,0.0,48.1637748144567,0.0,1.0,PD,ok,
0.001,0.1,0.01,0.001,0.01,0.001,100.0,0.0,False,1,0.8087490200996399,0.0,9.706554919830523e-06,0.0,0.8087393045425415,0.0,1.5221935510635376,0.0,2.3309425711631775,0.0,0.8087490200996399,0.0,9.706554919830523e-06,0.0,0.8087393045425415,0.0,1.5221935510635376,0.0,2.3309425711631775,0.0,0.8087490200996399,0.0,9.706554919830523e-06,0.0,0.3714917302131653,0.0,1.5221935510635376,0.0,47.806393834762275,0.0,1.0,PD,ok,
0.001,0.1,0.01,0.01,0.1,0.0001,100.0,0.0,False,1,0.8649743795394897,0.0,9.769797543413006e-06,0.0,0.8649646043777466,0.0,5.42566442489624,0.0,6.29063880443573,0.0,0.8649743795394897,0.0,9.769797543413006e-06,0.0,0.8649646043777466,0.0,5.42566442489624,0.0,6.29063880443573,0.0,0.8649743795394897,0.0,9.769797543413006e-06,0.0,0.3714917302131653,0.0,5.42566442489624,0.0,48.142271330114454,0.0,1.0,PD,ok,
0.001,0.0001,0.001,0.001,0.01,0.01,100.0,0.0,False,1,0.7738600969314575,0.0,1.0557869245531037e-05,0.0,0.7738495469093323,0.0,1.5978238582611084,0.0,2.371683955192566,0.0,0.7738600969314575,0.0,1.0557869245531037e-05,0.0,0.7738495469093323,0.0,1.5978238582611084,0.0,2.371683955192566,0.0,0.7738600969314575,0.0,1.0557869245531037e-05,0.0,0.3714917302131653,0.0,1.5978238582611084,0.0,141.20974911749363,0.0,1.0,PD,ok,
