alpha,xi,sigma,beta,primal_lr,dual_lr,lambda_max,dual_momentum,reset_lambda_per_outer,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,lower_scale,method,status,error
0.001,0.0001,0.01,0.01,0.001,0.001,100.0,0.0,False,1,0.5053129196166992,0.0,0.006466875784099102,0.0,0.49884605407714844,0.0,1.6223071813583374,0.0,2.1276201009750366,0.0,0.5053129196166992,0.0,0.006466875784099102,0.0,0.49884605407714844,0.0,1.6223071813583374,0.0,2.1276201009750366,0.0,0.5053129196166992,0.0,0.006466875784099102,0.0,0.3714917302131653,0.0,1.6223071813583374,0.0,326.21604294190183,0.0,1.0,PD,ok,
0.001,0.001,0.01,0.01,0.001,0.001,100.0,0.0,False,1,0.5053149461746216,0.0,0.006466622930020094,0.0,0.4988483488559723,0.0,1.6222951412200928,0.0,2.1276100873947144,0.0,0.5053149461746216,0.0,0.006466622930020094,0.0,0.4988483488559723,0.0,1.6222951412200928,0.0,2.1276100873947144,0.0,0.5053149461746216,0.0,0.006466622930020094,0.0,0.3714917302131653,0.0,1.6222951412200928,0.0,178.05387596553192,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.001,0.001,0.001,100.0,0.0,False,1,0.5055004358291626,0.0,0.006463231518864632,0.0,0.4990371763706207,0.0,1.6223480701446533,0.0,2.127848505973816,0.0,0.5055004358291626,0.0,0.006463231518864632,0.0,0.4990371763706207,0.0,1.6223480701446533,0.0,2.127848505973816,0.0,0.5055004358291626,0.0,0.006463231518864632,0.0,0.3714917302131653,0.0,1.6223480701446533,0.0,325.59169272892177,0.0,1.0,PD,ok,
0.001,0.001,0.01,0.001,0.001,0.001,100.0,0.0,False,1,0.5055022835731506,0.0,0.006462984252721071,0.0,0.49903929233551025,0.0,1.6223363876342773,0.0,2.127838671207428,0.0,0.5055022835731506,0.0,0.006462984252721071,0.0,0.49903929233551025,0.0,1.6223363876342773,0.0,2.127838671207428,0.0,0.5055022835731506,0.0,0.006462984252721071,0.0,0.3714917302131653,0.0,1.6223363876342773,0.0,327.18660541344434,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.0001,0.001,0.001,100.0,0.0,False,1,0.5055190920829773,0.0,0.0064628697000443935,0.0,0.49905622005462646,0.0,1.622352123260498,0.0,2.1278712153434753,0.0,0.5055190920829773,0.0,0.0064628697000443935,0.0,0.49905622005462646,0.0,1.622352123260498,0.0,2.1278712153434753,0.0,0.5055190920829773,0.0,0.0064628697000443935,0.0,0.3714917302131653,0.0,1.622352123260498,0.0,333.2188400523737,0.0,1.0,PD,ok,
0.001,0.001,0.01,0.0001,0.001,0.001,100.0,0.0,False,1,0.5055211186408997,0.0,0.0064626126550138,0.0,0.49905848503112793,0.0,1.622340202331543,0.0,2.1278613209724426,0.0,0.5055211186408997,0.0,0.0064626126550138,0.0,0.49905848503112793,0.0,1.622340202331543,0.0,2.1278613209724426,0.0,0.5055211186408997,0.0,0.0064626126550138,0.0,0.3714917302131653,0.0,1.622340202331543,0.0,323.8212266978808,0.0,1.0,PD,ok,
0.001,0.0001,0.001,0.01,0.001,0.001,100.0,0.0,False,1,0.5068027377128601,0.0,0.006292590871453285,0.0,0.5005101561546326,0.0,1.6223889589309692,0.0,2.1291916966438293,0.0,0.5068027377128601,0.0,0.006292590871453285,0.0,0.5005101561546326,0.0,1.6223889589309692,0.0,2.1291916966438293,0.0,0.5068027377128601,0.0,0.006292590871453285,0.0,0.3714917302131653,0.0,1.6223889589309692,0.0,382.31656640022993,0.0,1.0,PD,ok,
0.001,0.001,0.001,0.01,0.001,0.001,100.0,0.0,False,1,0.5068047642707825,0.0,0.006292345467954874,0.0,0.500512421131134,0.0,1.6223769187927246,0.0,2.129181683063507,0.0,0.5068047642707825,0.0,0.006292345467954874,0.0,0.500512421131134,0.0,1.6223769187927246,0.0,2.129181683063507,0.0,0.5068047642707825,0.0,0.006292345467954874,0.0,0.3714917302131653,0.0,1.6223769187927246,0.0,322.91612036386505,0.0,1.0,PD,ok,
0.001,0.0001,0.001,0.001,0.001,0.001,100.0,0.0,False,1,0.5069971680641174,0.0,0.0062882304191589355,0.0,0.5007089376449585,0.0,1.6224298477172852,0.0,2.1294270157814026,0.0,0.5069971680641174,0.0,0.0062882304191589355,0.0,0.5007089376449585,0.0,1.6224298477172852,0.0,2.1294270157814026,0.0,0.5069971680641174,0.0,0.0062882304191589355,0.0,0.3714917302131653,0.0,1.6224298477172852,0.0,385.51876010606065,0.0,1.0,PD,ok,
0.001,0.001,0.001,0.001,0.001,0.001,100.0,0.0,False,1,0.5069993734359741,0.0,0.006287987809628248,0.0,0.5007113814353943,0.0,1.6224175691604614,0.0,2.1294169425964355,0.0,0.5069993734359741,0.0,0.006287987809628248,0.0,0.5007113814353943,0.0,1.6224175691604614,0.0,2.1294169425964355,0.0,0.5069993734359741,0.0,0.006287987809628248,0.0,0.3714917302131653,0.0,1.6224175691604614,0.0,324.61786901718006,0.0,1.0,PD,ok,
