alpha,xi,sigma,beta,gamma0,threshold_scale,constraint_step_interval,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,lower_scale,lower_divide_by_n,method,status,error
0.001,0.01,0.001,0.001,10.0,1.0,0,1,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,0.62202388048172,0.0,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,0.62202388048172,0.0,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,38.09911693027243,0.0,1.0,False,SG,ok,
0.001,0.01,0.001,0.01,10.0,1.0,0,1,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,0.62202388048172,0.0,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,0.62202388048172,0.0,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,37.97695994190872,0.0,1.0,False,SG,ok,
0.001,0.01,0.001,0.1,10.0,1.0,0,1,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,0.62202388048172,0.0,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,0.62202388048172,0.0,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,38.11499949172139,0.0,1.0,False,SG,ok,
0.001,0.0001,0.001,0.01,10.0,1.0,0,1,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,0.6281233727931976,0.0,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,0.6281233727931976,0.0,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,38.28022883273661,0.0,1.0,False,SG,ok,
0.001,0.0001,0.001,0.001,10.0,1.0,0,1,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,0.6281233727931976,0.0,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,0.6281233727931976,0.0,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,38.4035704950802,0.0,1.0,False,SG,ok,
0.001,0.0001,0.001,0.1,10.0,1.0,0,1,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,0.6281233727931976,0.0,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,0.6281233727931976,0.0,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,38.34351741708815,0.0,1.0,False,SG,ok,
0.001,0.1,0.001,0.001,10.0,1.0,0,1,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,0.8674260675907135,0.0,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,0.8674260675907135,0.0,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,38.060750319156796,0.0,1.0,False,SG,ok,
0.001,0.1,0.001,0.01,10.0,1.0,0,1,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,0.8674260675907135,0.0,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,0.8674260675907135,0.0,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,38.20714865159243,0.0,1.0,False,SG,ok,
0.001,0.1,0.001,0.1,10.0,1.0,0,1,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,0.8674260675907135,0.0,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,0.8674260675907135,0.0,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,38.05107077630237,0.0,1.0,False,SG,ok,
0.001,0.0001,0.01,0.01,10.0,1.0,0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,38.27471879823133,0.0,1.0,False,SG,ok,
0.001,0.0001,0.01,0.001,10.0,1.0,0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,38.222262830939144,0.0,1.0,False,SG,ok,
0.001,0.0001,0.01,0.1,10.0,1.0,0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,38.27037422545254,0.0,1.0,False,SG,ok,
0.001,0.001,0.01,0.001,10.0,1.0,0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,38.15846148645505,0.0,1.0,False,SG,ok,
0.001,0.001,0.01,0.01,10.0,1.0,0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,38.19808374438435,0.0,1.0,False,SG,ok,
0.001,0.001,0.01,0.1,10.0,1.0,0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,38.155988584738225,0.0,1.0,False,SG,ok,
0.001,0.01,0.01,0.01,10.0,1.0,0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,38.01401021424681,0.0,1.0,False,SG,ok,
0.001,0.01,0.01,0.001,10.0,1.0,0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,38.188279991969466,0.0,1.0,False,SG,ok,
0.001,0.01,0.01,0.1,10.0,1.0,0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,37.96583569049835,0.0,1.0,False,SG,ok,
0.001,0.1,0.01,0.001,10.0,1.0,0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,37.96044249460101,0.0,1.0,False,SG,ok,
0.001,0.1,0.01,0.01,10.0,1.0,0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,38.08119439566508,0.0,1.0,False,SG,ok,
0.001,0.1,0.01,0.1,10.0,1.0,0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,38.138897264841944,0.0,1.0,False,SG,ok,
0.001,0.001,0.001,0.001,10.0,1.0,0,1,0.2988230288028717,0.0,0.29879122972488403,0.0,3.18072852678597e-05,0.0,0.6287821531295776,0.0,0.9276051819324493,0.0,0.2988230288028717,0.0,0.29879122972488403,0.0,3.18072852678597e-05,0.0,0.6287821531295776,0.0,0.9276051819324493,0.0,0.2988230288028717,0.0,0.29879122972488403,0.0,3.18072852678597e-05,0.0,0.6287821531295776,0.0,38.275665449909866,0.0,1.0,False,SG,ok,
0.001,0.001,0.001,0.1,10.0,1.0,0,1,0.2988230288028717,0.0,0.29879122972488403,0.0,3.18072852678597e-05,0.0,0.6287821531295776,0.0,0.9276051819324493,0.0,0.2988230288028717,0.0,0.29879122972488403,0.0,3.18072852678597e-05,0.0,0.6287821531295776,0.0,0.9276051819324493,0.0,0.2988230288028717,0.0,0.29879122972488403,0.0,3.18072852678597e-05,0.0,0.6287821531295776,0.0,38.1826356574893,0.0,1.0,False,SG,ok,
0.001,0.001,0.001,0.01,10.0,1.0,0,1,0.2988230288028717,0.0,0.29879122972488403,0.0,3.18072852678597e-05,0.0,0.6287821531295776,0.0,0.9276051819324493,0.0,0.2988230288028717,0.0,0.29879122972488403,0.0,3.18072852678597e-05,0.0,0.6287821531295776,0.0,0.9276051819324493,0.0,0.2988230288028717,0.0,0.29879122972488403,0.0,3.18072852678597e-05,0.0,0.6287821531295776,0.0,38.30835175001994,0.0,1.0,False,SG,ok,
0.001,0.0001,0.1,0.01,10.0,1.0,0,1,0.35120439529418945,0.0,0.3510061502456665,0.0,0.00019824547052849084,0.0,1.006330966949463,0.0,1.3575353622436523,0.0,0.35120439529418945,0.0,0.3510061502456665,0.0,0.00019824547052849084,0.0,1.006330966949463,0.0,1.3575353622436523,0.0,0.35120439529418945,0.0,0.3510061502456665,0.0,0.00019824547052849084,0.0,1.006330966949463,0.0,37.88004393456504,0.0,1.0,False,SG,ok,
0.001,0.0001,0.1,0.001,10.0,1.0,0,1,0.35120439529418945,0.0,0.3510061502456665,0.0,0.00019824547052849084,0.0,1.006330966949463,0.0,1.3575353622436523,0.0,0.35120439529418945,0.0,0.3510061502456665,0.0,0.00019824547052849084,0.0,1.006330966949463,0.0,1.3575353622436523,0.0,0.35120439529418945,0.0,0.3510061502456665,0.0,0.00019824547052849084,0.0,1.006330966949463,0.0,38.11397054512054,0.0,1.0,False,SG,ok,
0.001,0.0001,0.1,0.1,10.0,1.0,0,1,0.35120439529418945,0.0,0.3510061502456665,0.0,0.00019824547052849084,0.0,1.006330966949463,0.0,1.3575353622436523,0.0,0.35120439529418945,0.0,0.3510061502456665,0.0,0.00019824547052849084,0.0,1.006330966949463,0.0,1.3575353622436523,0.0,0.35120439529418945,0.0,0.3510061502456665,0.0,0.00019824547052849084,0.0,1.006330966949463,0.0,38.11558418441564,0.0,1.0,False,SG,ok,
0.001,0.0001,0.001,0.01,1000.0,1.0,0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,38.25388746568933,0.0,1.0,False,SG,ok,
0.001,0.0001,0.001,0.1,1000.0,1.0,0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,38.429498384241015,0.0,1.0,False,SG,ok,
0.001,0.0001,0.001,0.001,1000.0,1.0,0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,38.459488042164594,0.0,1.0,False,SG,ok,
0.001,0.001,0.001,0.01,1000.0,1.0,0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,37.84734265739098,0.0,1.0,False,SG,ok,
0.001,0.001,0.001,0.001,1000.0,1.0,0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,37.9737977781333,0.0,1.0,False,SG,ok,
0.001,0.001,0.001,0.1,1000.0,1.0,0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,38.18955918122083,0.0,1.0,False,SG,ok,
0.001,0.01,0.001,0.01,1000.0,1.0,0,1,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,2.20880925655365,0.0,0.5852930545806885,0.0,0.35477352142333984,0.0,0.23051950335502625,0.0,1.6235162019729614,0.0,37.93590589379892,0.0,1.0,False,SG,ok,
