alpha,xi,sigma,beta,gamma0,threshold_scale,constraint_step_interval,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,method,status,error
0.001,0.0001,0.001,0.0001,300.0,1.0,10,1,0.6016844511032104,0.0,0.11263834685087204,0.0,0.4890460968017578,0.0,17.375070571899414,0.0,17.976755023002625,0.0,0.6016844511032104,0.0,0.11263834685087204,0.0,0.4890460968017578,0.0,17.375070571899414,0.0,17.976755023002625,0.0,0.6016844511032104,0.0,0.11263834685087204,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,19.068107628263533,0.0,SG,ok,
0.001,0.0001,0.001,0.001,300.0,1.0,10,1,0.6016844511032104,0.0,0.11263834685087204,0.0,0.4890460968017578,0.0,17.375070571899414,0.0,17.976755023002625,0.0,0.6016844511032104,0.0,0.11263834685087204,0.0,0.4890460968017578,0.0,17.375070571899414,0.0,17.976755023002625,0.0,0.6016844511032104,0.0,0.11263834685087204,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,19.24075992871076,0.0,SG,ok,
0.001,0.0001,0.001,0.01,300.0,1.0,10,1,0.6016844511032104,0.0,0.11263834685087204,0.0,0.4890460968017578,0.0,17.375070571899414,0.0,17.976755023002625,0.0,0.6016844511032104,0.0,0.11263834685087204,0.0,0.4890460968017578,0.0,17.375070571899414,0.0,17.976755023002625,0.0,0.6016844511032104,0.0,0.11263834685087204,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,18.487612707540393,0.0,SG,ok,
0.001,0.001,0.001,0.0001,300.0,1.0,10,1,0.6016844511032104,0.0,0.11263834685087204,0.0,0.4890460968017578,0.0,17.374170303344727,0.0,17.975854754447937,0.0,0.6016844511032104,0.0,0.11263834685087204,0.0,0.4890460968017578,0.0,17.374170303344727,0.0,17.975854754447937,0.0,0.6016844511032104,0.0,0.11263834685087204,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,18.92862901650369,0.0,SG,ok,
0.001,0.001,0.001,0.001,300.0,1.0,10,1,0.6016844511032104,0.0,0.11263834685087204,0.0,0.4890460968017578,0.0,17.374170303344727,0.0,17.975854754447937,0.0,0.6016844511032104,0.0,0.11263834685087204,0.0,0.4890460968017578,0.0,17.374170303344727,0.0,17.975854754447937,0.0,0.6016844511032104,0.0,0.11263834685087204,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,18.547795824706554,0.0,SG,ok,
0.001,0.001,0.001,0.01,300.0,1.0,10,1,0.6016844511032104,0.0,0.11263834685087204,0.0,0.4890460968017578,0.0,17.374170303344727,0.0,17.975854754447937,0.0,0.6016844511032104,0.0,0.11263834685087204,0.0,0.4890460968017578,0.0,17.374170303344727,0.0,17.975854754447937,0.0,0.6016844511032104,0.0,0.11263834685087204,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,18.440213070251048,0.0,SG,ok,
0.001,0.0001,0.01,0.0001,300.0,1.0,10,1,0.6016872525215149,0.0,0.1126478835940361,0.0,0.4890393912792206,0.0,17.374675750732422,0.0,17.976363003253937,0.0,0.6016872525215149,0.0,0.1126478835940361,0.0,0.4890393912792206,0.0,17.374675750732422,0.0,17.976363003253937,0.0,0.6016872525215149,0.0,0.1126478835940361,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,19.30745472200215,0.0,SG,ok,
0.001,0.0001,0.01,0.001,300.0,1.0,10,1,0.6016872525215149,0.0,0.1126478835940361,0.0,0.4890393912792206,0.0,17.374675750732422,0.0,17.976363003253937,0.0,0.6016872525215149,0.0,0.1126478835940361,0.0,0.4890393912792206,0.0,17.374675750732422,0.0,17.976363003253937,0.0,0.6016872525215149,0.0,0.1126478835940361,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,18.358309188857675,0.0,SG,ok,
0.001,0.0001,0.01,0.01,300.0,1.0,10,1,0.6016872525215149,0.0,0.1126478835940361,0.0,0.4890393912792206,0.0,17.374675750732422,0.0,17.976363003253937,0.0,0.6016872525215149,0.0,0.1126478835940361,0.0,0.4890393912792206,0.0,17.374675750732422,0.0,17.976363003253937,0.0,0.6016872525215149,0.0,0.1126478835940361,0.0,0.3714917302131653,0.0,12.63648796081543,0.0,18.434696645475924,0.0,SG,ok,
0.001,0.001,0.01,0.0001,300.0,1.0,10,1,0.6016872525215149,0.0,0.1126478835940361,0.0,0.4890393912792206,0.0,17.373775482177734,0.0,17.97546273469925,0.0,0.6016872525215149,0.0,0.1126478835940361,0.0,0.4890393912792206,0.0,17.373775482177734,0.0,17.97546273469925,0.0,0.6016872525215149,0.0,0.1126478835940361,0.0,0.3714917302131653,0.0,12.635587692260742,0.0,19.145518611185253,0.0,SG,ok,
