alpha,xi,sigma,beta,gamma0,threshold_scale,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,method,status,error
0.001,0.01,0.001,0.001,10.0,1.0,1,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,0.62202388048172,0.0,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,0.62202388048172,0.0,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,7.9692348865792155,0.0,SG,ok,
0.001,0.01,0.001,0.01,10.0,1.0,1,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,0.62202388048172,0.0,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,0.62202388048172,0.0,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,7.958784177899361,0.0,SG,ok,
0.001,0.01,0.001,0.1,10.0,1.0,1,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,0.62202388048172,0.0,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,0.62202388048172,0.0,0.27561965584754944,0.0,0.275582879781723,0.0,3.676773121696897e-05,0.0,0.34640422463417053,0.0,7.930654004216194,0.0,SG,ok,
0.001,0.0001,0.001,0.01,10.0,1.0,1,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,0.6281233727931976,0.0,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,0.6281233727931976,0.0,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,7.955382236279547,0.0,SG,ok,
0.001,0.0001,0.001,0.001,10.0,1.0,1,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,0.6281233727931976,0.0,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,0.6281233727931976,0.0,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,8.014885034412146,0.0,SG,ok,
0.001,0.0001,0.001,0.1,10.0,1.0,1,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,0.6281233727931976,0.0,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,0.6281233727931976,0.0,0.275623083114624,0.0,0.27558669447898865,0.0,3.6387311411090195e-05,0.0,0.3525002896785736,0.0,7.970789870247245,0.0,SG,ok,
0.001,0.1,0.001,0.001,10.0,1.0,1,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,0.8674260675907135,0.0,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,0.8674260675907135,0.0,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,7.920784402638674,0.0,SG,ok,
0.001,0.1,0.001,0.01,10.0,1.0,1,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,0.8674260675907135,0.0,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,0.8674260675907135,0.0,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,7.940745193511248,0.0,SG,ok,
0.001,0.1,0.001,0.1,10.0,1.0,1,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,0.8674260675907135,0.0,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,0.8674260675907135,0.0,0.2758529484272003,0.0,0.275839239358902,0.0,1.369557503494434e-05,0.0,0.5915731191635132,0.0,7.9338888907805085,0.0,SG,ok,
0.001,0.0001,0.01,0.001,10.0,1.0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,7.9343288550153375,0.0,SG,ok,
0.001,0.0001,0.01,0.01,10.0,1.0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,7.934267770498991,0.0,SG,ok,
0.001,0.0001,0.01,0.1,10.0,1.0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,7.950822817161679,0.0,SG,ok,
0.001,0.001,0.01,0.001,10.0,1.0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,7.948625849559903,0.0,SG,ok,
0.001,0.001,0.01,0.01,10.0,1.0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,7.954849727451801,0.0,SG,ok,
0.001,0.001,0.01,0.1,10.0,1.0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,7.932153160683811,0.0,SG,ok,
0.001,0.01,0.01,0.001,10.0,1.0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,7.934242462739348,0.0,SG,ok,
0.001,0.01,0.01,0.01,10.0,1.0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,7.938807664439082,0.0,SG,ok,
0.001,0.01,0.01,0.1,10.0,1.0,1,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,1.302386611700058,0.0,0.28319451212882996,0.0,0.2825135886669159,0.0,0.0006809320184402168,0.0,1.019192099571228,0.0,7.927640180103481,0.0,SG,ok,
