alpha,xi,sigma,beta,gamma0,threshold_scale,constraint_step_interval,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,lower_scale,method,status,error
0.001,0.1,0.1,0.001,1.0,1.0,0,1,0.2870759665966034,0.0,0.2568787932395935,0.0,0.03019716776907444,0.0,1.0730257034301758,0.0,1.3601016700267792,0.0,0.2870759665966034,0.0,0.2568787932395935,0.0,0.03019716776907444,0.0,1.0730257034301758,0.0,1.3601016700267792,0.0,0.2870759665966034,0.0,0.2568787932395935,0.0,0.03019716776907444,0.0,1.0730257034301758,0.0,108.51698609767482,0.0,1.0,SG,ok,
0.001,0.1,0.1,0.01,1.0,1.0,0,1,0.2870759665966034,0.0,0.2568787932395935,0.0,0.03019716776907444,0.0,1.0730257034301758,0.0,1.3601016700267792,0.0,0.2870759665966034,0.0,0.2568787932395935,0.0,0.03019716776907444,0.0,1.0730257034301758,0.0,1.3601016700267792,0.0,0.2870759665966034,0.0,0.2568787932395935,0.0,0.03019716776907444,0.0,1.0730257034301758,0.0,106.12065507657826,0.0,1.0,SG,ok,
0.001,0.1,0.1,0.1,1.0,1.0,0,1,0.2870759665966034,0.0,0.2568787932395935,0.0,0.03019716776907444,0.0,1.0730257034301758,0.0,1.3601016700267792,0.0,0.2870759665966034,0.0,0.2568787932395935,0.0,0.03019716776907444,0.0,1.0730257034301758,0.0,1.3601016700267792,0.0,0.2870759665966034,0.0,0.2568787932395935,0.0,0.03019716776907444,0.0,1.0730257034301758,0.0,102.81569509813562,0.0,1.0,SG,ok,
0.001,0.01,0.1,0.001,1.0,1.0,0,1,0.2879112660884857,0.0,0.2572152316570282,0.0,0.03069603443145752,0.0,1.0691907405853271,0.0,1.3571020066738129,0.0,0.2879112660884857,0.0,0.2572152316570282,0.0,0.03069603443145752,0.0,1.0691907405853271,0.0,1.3571020066738129,0.0,0.2879112660884857,0.0,0.2572152316570282,0.0,0.03069603443145752,0.0,1.0691907405853271,0.0,107.79266229365021,0.0,1.0,SG,ok,
0.001,0.01,0.1,0.01,1.0,1.0,0,1,0.2879112660884857,0.0,0.2572152316570282,0.0,0.03069603443145752,0.0,1.0691907405853271,0.0,1.3571020066738129,0.0,0.2879112660884857,0.0,0.2572152316570282,0.0,0.03069603443145752,0.0,1.0691907405853271,0.0,1.3571020066738129,0.0,0.2879112660884857,0.0,0.2572152316570282,0.0,0.03069603443145752,0.0,1.0691907405853271,0.0,107.89244296122342,0.0,1.0,SG,ok,
0.001,0.01,0.1,0.1,1.0,1.0,0,1,0.2879112660884857,0.0,0.2572152316570282,0.0,0.03069603443145752,0.0,1.0691907405853271,0.0,1.3571020066738129,0.0,0.2879112660884857,0.0,0.2572152316570282,0.0,0.03069603443145752,0.0,1.0691907405853271,0.0,1.3571020066738129,0.0,0.2879112660884857,0.0,0.2572152316570282,0.0,0.03069603443145752,0.0,1.0691907405853271,0.0,107.670287234243,0.0,1.0,SG,ok,
0.001,0.001,0.1,0.001,1.0,1.0,0,1,0.28795066475868225,0.0,0.2572389245033264,0.0,0.030711747705936432,0.0,1.0693007707595825,0.0,1.3572514355182648,0.0,0.28795066475868225,0.0,0.2572389245033264,0.0,0.030711747705936432,0.0,1.0693007707595825,0.0,1.3572514355182648,0.0,0.28795066475868225,0.0,0.2572389245033264,0.0,0.030711747705936432,0.0,1.0693007707595825,0.0,105.28454412985593,0.0,1.0,SG,ok,
0.001,0.001,0.1,0.01,1.0,1.0,0,1,0.28795066475868225,0.0,0.2572389245033264,0.0,0.030711747705936432,0.0,1.0693007707595825,0.0,1.3572514355182648,0.0,0.28795066475868225,0.0,0.2572389245033264,0.0,0.030711747705936432,0.0,1.0693007707595825,0.0,1.3572514355182648,0.0,0.28795066475868225,0.0,0.2572389245033264,0.0,0.030711747705936432,0.0,1.0693007707595825,0.0,105.01457721274346,0.0,1.0,SG,ok,
0.001,0.001,0.1,0.1,1.0,1.0,0,1,0.28795066475868225,0.0,0.2572389245033264,0.0,0.030711747705936432,0.0,1.0693007707595825,0.0,1.3572514355182648,0.0,0.28795066475868225,0.0,0.2572389245033264,0.0,0.030711747705936432,0.0,1.0693007707595825,0.0,1.3572514355182648,0.0,0.28795066475868225,0.0,0.2572389245033264,0.0,0.030711747705936432,0.0,1.0693007707595825,0.0,109.78660082444549,0.0,1.0,SG,ok,
0.001,0.0001,0.1,0.001,1.0,1.0,0,1,0.2879604995250702,0.0,0.2572411596775055,0.0,0.030719349160790443,0.0,1.0693153142929077,0.0,1.357275813817978,0.0,0.2879604995250702,0.0,0.2572411596775055,0.0,0.030719349160790443,0.0,1.0693153142929077,0.0,1.357275813817978,0.0,0.2879604995250702,0.0,0.2572411596775055,0.0,0.030719349160790443,0.0,1.0693153142929077,0.0,85.97469529230148,0.0,1.0,SG,ok,
0.001,0.0001,0.1,0.1,1.0,1.0,0,1,0.2879604995250702,0.0,0.2572411596775055,0.0,0.030719349160790443,0.0,1.0693153142929077,0.0,1.357275813817978,0.0,0.2879604995250702,0.0,0.2572411596775055,0.0,0.030719349160790443,0.0,1.0693153142929077,0.0,1.357275813817978,0.0,0.2879604995250702,0.0,0.2572411596775055,0.0,0.030719349160790443,0.0,1.0693153142929077,0.0,86.44553748238832,0.0,1.0,SG,ok,
0.001,0.0001,0.1,0.01,1.0,1.0,0,1,0.2879604995250702,0.0,0.2572411596775055,0.0,0.030719349160790443,0.0,1.0693153142929077,0.0,1.357275813817978,0.0,0.2879604995250702,0.0,0.2572411596775055,0.0,0.030719349160790443,0.0,1.0693153142929077,0.0,1.357275813817978,0.0,0.2879604995250702,0.0,0.2572411596775055,0.0,0.030719349160790443,0.0,1.0693153142929077,0.0,86.64092607470229,0.0,1.0,SG,ok,
0.001,0.01,0.01,0.001,1.0,1.0,0,1,0.39848968386650085,0.0,0.30495157837867737,0.0,0.09353811293840408,0.0,1.0477169752120972,0.0,1.446206659078598,0.0,0.39848968386650085,0.0,0.30495157837867737,0.0,0.09353811293840408,0.0,1.0477169752120972,0.0,1.446206659078598,0.0,0.39848968386650085,0.0,0.30495157837867737,0.0,0.09353811293840408,0.0,1.0477169752120972,0.0,104.96345759090036,0.0,1.0,SG,ok,
0.001,0.01,0.01,0.01,1.0,1.0,0,1,0.39848968386650085,0.0,0.30495157837867737,0.0,0.09353811293840408,0.0,1.0477169752120972,0.0,1.446206659078598,0.0,0.39848968386650085,0.0,0.30495157837867737,0.0,0.09353811293840408,0.0,1.0477169752120972,0.0,1.446206659078598,0.0,0.39848968386650085,0.0,0.30495157837867737,0.0,0.09353811293840408,0.0,1.0477169752120972,0.0,110.11637133499607,0.0,1.0,SG,ok,
0.001,0.01,0.01,0.1,1.0,1.0,0,1,0.39848968386650085,0.0,0.30495157837867737,0.0,0.09353811293840408,0.0,1.0477169752120972,0.0,1.446206659078598,0.0,0.39848968386650085,0.0,0.30495157837867737,0.0,0.09353811293840408,0.0,1.0477169752120972,0.0,1.446206659078598,0.0,0.39848968386650085,0.0,0.30495157837867737,0.0,0.09353811293840408,0.0,1.0477169752120972,0.0,110.06187902344391,0.0,1.0,SG,ok,
0.001,0.1,0.001,0.001,1.0,1.0,0,1,0.4443530738353729,0.0,0.33611828088760376,0.0,0.10823479294776917,0.0,1.1541918516159058,0.0,1.5985449254512787,0.0,0.4443530738353729,0.0,0.33611828088760376,0.0,0.10823479294776917,0.0,1.1541918516159058,0.0,1.5985449254512787,0.0,0.4443530738353729,0.0,0.33611828088760376,0.0,0.10823479294776917,0.0,1.1541918516159058,0.0,108.17032157257199,0.0,1.0,SG,ok,
