alpha,xi,sigma,beta,primal_lr,dual_lr,lambda_max,dual_momentum,reset_lambda_per_outer,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,lower_scale,method,status,error
0.001,0.0001,0.01,0.01,0.001,0.0015,100.0,0.0,False,1,0.5093737244606018,0.0,0.005884489044547081,0.0,0.5034892559051514,0.0,1.642860770225525,0.0,2.1522344946861267,0.0,0.5093737244606018,0.0,0.005884489044547081,0.0,0.5034892559051514,0.0,1.642860770225525,0.0,2.1522344946861267,0.0,0.5093737244606018,0.0,0.005884489044547081,0.0,0.3714917302131653,0.0,1.642860770225525,0.0,263.0664185360074,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.001,0.0003,100.0,0.0,False,1,0.5196920037269592,0.0,0.007150384597480297,0.0,0.5125415921211243,0.0,4.643247127532959,0.0,5.162939131259918,0.0,0.5196920037269592,0.0,0.007150384597480297,0.0,0.5125415921211243,0.0,4.643247127532959,0.0,5.162939131259918,0.0,0.5196920037269592,0.0,0.007150384597480297,0.0,0.3714917302131653,0.0,4.643247127532959,0.0,265.4406678597443,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0001,0.0015,100.0,0.0,False,1,0.5342679023742676,0.0,0.25375112891197205,0.0,0.28051677346229553,0.0,1.66077721118927,0.0,2.1950451135635376,0.0,0.5342679023742676,0.0,0.25375112891197205,0.0,0.28051677346229553,0.0,1.66077721118927,0.0,2.1950451135635376,0.0,0.5342679023742676,0.0,0.25375112891197205,0.0,0.28051677346229553,0.0,1.66077721118927,0.0,301.64882274204865,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0001,0.001,100.0,0.0,False,1,0.5548763275146484,0.0,0.26312220096588135,0.0,0.2917541265487671,0.0,2.146421432495117,0.0,2.7012977600097656,0.0,0.5548763275146484,0.0,0.26312220096588135,0.0,0.2917541265487671,0.0,2.146421432495117,0.0,2.7012977600097656,0.0,0.5548763275146484,0.0,0.26312220096588135,0.0,0.2917541265487671,0.0,2.146421432495117,0.0,301.6219638520852,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0001,0.0006,100.0,0.0,False,1,0.5856351256370544,0.0,0.2763115465641022,0.0,0.30932357907295227,0.0,3.7442100048065186,0.0,4.329845130443573,0.0,0.5856351256370544,0.0,0.2763115465641022,0.0,0.30932357907295227,0.0,3.7442100048065186,0.0,4.329845130443573,0.0,0.5856351256370544,0.0,0.2763115465641022,0.0,0.30932357907295227,0.0,3.7442100048065186,0.0,304.80204968946055,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0015,0.0015,100.0,0.0,False,1,0.5872684717178345,0.0,0.001344267395325005,0.0,0.5859242081642151,0.0,1.6282439231872559,0.0,2.2155123949050903,0.0,0.5872684717178345,0.0,0.001344267395325005,0.0,0.5859242081642151,0.0,1.6282439231872559,0.0,2.2155123949050903,0.0,0.5872684717178345,0.0,0.001344267395325005,0.0,0.3714917302131653,0.0,1.6282439231872559,0.0,199.5206536417827,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0015,0.001,100.0,0.0,False,1,0.5873315334320068,0.0,0.0016160283703356981,0.0,0.5857155323028564,0.0,1.609594702720642,0.0,2.196926236152649,0.0,0.5873315334320068,0.0,0.0016160283703356981,0.0,0.5857155323028564,0.0,1.609594702720642,0.0,2.196926236152649,0.0,0.5873315334320068,0.0,0.0016160283703356981,0.0,0.3714917302131653,0.0,1.609594702720642,0.0,200.37008891580626,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0015,0.0006,100.0,0.0,False,1,0.5892527103424072,0.0,0.002048532012850046,0.0,0.5872041583061218,0.0,2.0662288665771484,0.0,2.6554815769195557,0.0,0.5892527103424072,0.0,0.002048532012850046,0.0,0.5872041583061218,0.0,2.0662288665771484,0.0,2.6554815769195557,0.0,0.5892527103424072,0.0,0.002048532012850046,0.0,0.3714917302131653,0.0,2.0662288665771484,0.0,262.38730257190764,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0015,0.0003,100.0,0.0,False,1,0.5947775840759277,0.0,0.002670082962140441,0.0,0.5921074748039246,0.0,3.737292766571045,0.0,4.332070350646973,0.0,0.5947775840759277,0.0,0.002670082962140441,0.0,0.5921074748039246,0.0,3.737292766571045,0.0,4.332070350646973,0.0,0.5947775840759277,0.0,0.002670082962140441,0.0,0.3714917302131653,0.0,3.737292766571045,0.0,260.99025820195675,0.0,1.0,PD,ok,
0.001,0.0001,0.01,0.01,0.0001,0.0003,100.0,0.0,False,1,0.631568968296051,0.0,0.29450222849845886,0.0,0.33706673979759216,0.0,6.455954551696777,0.0,7.087523519992828,0.0,0.631568968296051,0.0,0.29450222849845886,0.0,0.33706673979759216,0.0,6.455954551696777,0.0,7.087523519992828,0.0,0.631568968296051,0.0,0.29450222849845886,0.0,0.33706673979759216,0.0,6.455954551696777,0.0,305.7777494727634,0.0,1.0,PD,ok,
