alpha,xi,sigma,beta,primal_lr,dual_lr,lambda_max,dual_momentum,reset_lambda_per_outer,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,method,status,error
0.001,0.001,0.1,0.001,0.01,0.0001,100.0,0.0,False,1,0.7340689301490784,0.0,0.0006337313097901642,0.0,0.7334352135658264,0.0,1.6837866306304932,0.0,2.4178555607795715,0.0,0.7340689301490784,0.0,0.0006337313097901642,0.0,0.7334352135658264,0.0,1.6837866306304932,0.0,2.4178555607795715,0.0,0.7340689301490784,0.0,0.0006337313097901642,0.0,0.3714917302131653,0.0,1.6837866306304932,0.0,10.597229186445475,0.0,PD,ok,
0.001,0.0001,0.1,0.001,0.01,0.0001,100.0,0.0,False,1,0.7340694665908813,0.0,0.0006337585509754717,0.0,0.7334356904029846,0.0,1.6837881803512573,0.0,2.4178576469421387,0.0,0.7340694665908813,0.0,0.0006337585509754717,0.0,0.7334356904029846,0.0,1.6837881803512573,0.0,2.4178576469421387,0.0,0.7340694665908813,0.0,0.0006337585509754717,0.0,0.3714917302131653,0.0,1.6837881803512573,0.0,10.550023324787617,0.0,PD,ok,
0.001,0.1,0.01,0.1,0.01,0.0001,100.0,0.0,False,1,0.7341518402099609,0.0,0.000657208263874054,0.0,0.7334946393966675,0.0,1.6839125156402588,0.0,2.4180643558502197,0.0,0.7341518402099609,0.0,0.000657208263874054,0.0,0.7334946393966675,0.0,1.6839125156402588,0.0,2.4180643558502197,0.0,0.7341518402099609,0.0,0.000657208263874054,0.0,0.3714917302131653,0.0,1.6839125156402588,0.0,10.955879913643003,0.0,PD,ok,
0.001,0.1,0.001,0.1,0.01,0.0001,100.0,0.0,False,1,0.7341558337211609,0.0,0.00065792998066172,0.0,0.7334979176521301,0.0,1.6839195489883423,0.0,2.418075382709503,0.0,0.7341558337211609,0.0,0.00065792998066172,0.0,0.7334979176521301,0.0,1.6839195489883423,0.0,2.418075382709503,0.0,0.7341558337211609,0.0,0.00065792998066172,0.0,0.3714917302131653,0.0,1.6839195489883423,0.0,10.945353460498154,0.0,PD,ok,
0.001,0.01,0.01,0.1,0.01,0.0001,100.0,0.0,False,1,0.7342804670333862,0.0,0.0006655993056483567,0.0,0.7336148619651794,0.0,1.684157371520996,0.0,2.4184378385543823,0.0,0.7342804670333862,0.0,0.0006655993056483567,0.0,0.7336148619651794,0.0,1.684157371520996,0.0,2.4184378385543823,0.0,0.7342804670333862,0.0,0.0006655993056483567,0.0,0.3714917302131653,0.0,1.684157371520996,0.0,10.772891618311405,0.0,PD,ok,
0.001,0.001,0.01,0.1,0.01,0.0001,100.0,0.0,False,1,0.7342947721481323,0.0,0.0006664268439635634,0.0,0.7336283326148987,0.0,1.6841809749603271,0.0,2.4184757471084595,0.0,0.7342947721481323,0.0,0.0006664268439635634,0.0,0.7336283326148987,0.0,1.6841809749603271,0.0,2.4184757471084595,0.0,0.7342947721481323,0.0,0.0006664268439635634,0.0,0.3714917302131653,0.0,1.6841809749603271,0.0,10.697496986016631,0.0,PD,ok,
0.001,0.0001,0.01,0.1,0.01,0.0001,100.0,0.0,False,1,0.7342959642410278,0.0,0.0006665161345154047,0.0,0.7336294651031494,0.0,1.6841833591461182,0.0,2.418479323387146,0.0,0.7342959642410278,0.0,0.0006665161345154047,0.0,0.7336294651031494,0.0,1.6841833591461182,0.0,2.418479323387146,0.0,0.7342959642410278,0.0,0.0006665161345154047,0.0,0.3714917302131653,0.0,1.6841833591461182,0.0,10.640140128321946,0.0,PD,ok,
0.001,0.01,0.001,0.1,0.01,0.0001,100.0,0.0,False,1,0.7342913150787354,0.0,0.0006669597350992262,0.0,0.7336243391036987,0.0,1.6841734647750854,0.0,2.418464779853821,0.0,0.7342913150787354,0.0,0.0006669597350992262,0.0,0.7336243391036987,0.0,1.6841734647750854,0.0,2.418464779853821,0.0,0.7342913150787354,0.0,0.0006669597350992262,0.0,0.3714917302131653,0.0,1.6841734647750854,0.0,10.948717039078474,0.0,PD,ok,
0.001,0.001,0.001,0.1,0.01,0.0001,100.0,0.0,False,1,0.7343064546585083,0.0,0.0006678863428533077,0.0,0.7336385846138,0.0,1.684198260307312,0.0,2.4185047149658203,0.0,0.7343064546585083,0.0,0.0006678863428533077,0.0,0.7336385846138,0.0,1.684198260307312,0.0,2.4185047149658203,0.0,0.7343064546585083,0.0,0.0006678863428533077,0.0,0.3714917302131653,0.0,1.684198260307312,0.0,10.563691171817482,0.0,PD,ok,
0.001,0.0001,0.001,0.1,0.01,0.0001,100.0,0.0,False,1,0.7343077659606934,0.0,0.000667972955852747,0.0,0.7336397767066956,0.0,1.6842005252838135,0.0,2.418508291244507,0.0,0.7343077659606934,0.0,0.000667972955852747,0.0,0.7336397767066956,0.0,1.6842005252838135,0.0,2.418508291244507,0.0,0.7343077659606934,0.0,0.000667972955852747,0.0,0.3714917302131653,0.0,1.6842005252838135,0.0,10.591189870610833,0.0,PD,ok,
